Image Filename,Page Number,Botanical Name,Common Name
eupatorium_purpureum_0.png,21,Eupatorium purpureum,JOE PYE WEED
eupatorium_purpureum_1.png,21,Eupatorium purpureum,JOE PYE WEED
eurybia_divaricata_white_0.png,22,Eurybia divaricata white,WHITE WOOD ASTER
eurybia_divaricata_white_1.png,22,Eurybia divaricata white,WHITE WOOD ASTER
helenium_autumnale_sneezeweed_0.png,23,Helenium autumnale sneezeweed,COMMON SNEEZEWEED
helenium_autumnale_sneezeweed_1.png,23,Helenium autumnale sneezeweed,COMMON SNEEZEWEED
heliopsis_helianthoides_false_0.png,24,Heliopsis helianthoides false,SMOOTH OXEYE
hibiscus_moscheutos_0.png,25,Hibiscus moscheutos,SWAMP ROSEMALLOW
hibiscus_moscheutos_1.png,25,Hibiscus moscheutos,SWAMP ROSEMALLOW
iris_versicolor_0.png,26,Iris versicolor,"BLUE FLAG, BLUE WATER IRIS"
iris_versicolor_1.png,26,Iris versicolor,"BLUE FLAG, BLUE WATER IRIS"
liatris_spicata_dense_0.png,27,Liatris spicata dense,DENSE BLAZING STAR
liatris_spicata_dense_1.png,27,Liatris spicata dense,DENSE BLAZING STAR
lilium_superbum_0.png,28,Lilium superbum,TURK'S CAP LILY
lilium_superbum_1.png,28,Lilium superbum,TURK'S CAP LILY
lobelia_cardinalis_cardinal_0.png,29,Lobelia cardinalis cardinal,CARDINAL FLOWER
lobelia_siphilitica_0.png,30,Lobelia siphilitica,BLUE LOBELIA
lobelia_siphilitica_1.png,30,Lobelia siphilitica,BLUE LOBELIA
mimulus_ringens_allegehney_0.png,31,Mimulus ringens allegehney,MONKEY FLOWER
mimulus_ringens_allegehney_1.png,31,Mimulus ringens allegehney,MONKEY FLOWER
monarda_didyma_0.png,32,Monarda didyma,BEE-BALM
monarda_didyma_1.png,32,Monarda didyma,BEE-BALM
monarda_fistulosa_wild_0.png,33,Monarda fistulosa wild,WILD BERGAMOT
monarda_fistulosa_wild_1.png,33,Monarda fistulosa wild,WILD BERGAMOT
penstemon_digitalis_foxglove_0.png,34,Penstemon digitalis foxglove,FOXGLOVE BEARDTONGUE
penstemon_digitalis_foxglove_1.png,34,Penstemon digitalis foxglove,FOXGLOVE BEARDTONGUE
phlox_divaricta_0.png,35,Phlox divaricta,WOODLAND PHLOX
phlox_paniculata_blue_0.png,36,Phlox paniculata Blue,GARDEN PHLOX
phlox_paniculata_blue_1.png,36,Phlox paniculata Blue,GARDEN PHLOX
phlox_stolonifera_blue_0.png,37,Phlox stolonifera Blue,CREEPING PHLOX
phlox_stolonifera_blue_1.png,37,Phlox stolonifera Blue,CREEPING PHLOX
physostegia_virginiana_miss_0.png,38,Physostegia virginiana Miss,FALSE DRAGONHEAD
physostegia_virginiana_miss_1.png,38,Physostegia virginiana Miss,FALSE DRAGONHEAD
pycnanthemum_virginianum_virginia_0.png,39,Pycnanthemum virginianum virginia,VIRGINIA MOUNTAIN-MINT
pycnanthemum_virginianum_virginia_1.png,39,Pycnanthemum virginianum virginia,VIRGINIA MOUNTAIN-MINT
rudbeckia_fulgida_orange_0.png,40,Rudbeckia fulgida orange,ORANGE CONEFLOWER
rudbeckia_fulgida_orange_1.png,40,Rudbeckia fulgida orange,ORANGE CONEFLOWER
rudbeckia_hirta_0.png,41,Rudbeckia hirta,BLACK-EYED SUSAN
rudbeckia_hirta_1.png,41,Rudbeckia hirta,BLACK-EYED SUSAN
rudbeckia_laciniata_0.png,42,Rudbeckia laciniata,CUTLEAF CONEFLOWER
rudbeckia_laciniata_1.png,42,Rudbeckia laciniata,CUTLEAF CONEFLOWER
siphium_perfoliatum_0.png,43,Siphium perfoliatum,CUP-PLANT
siphium_perfoliatum_1.png,43,Siphium perfoliatum,CUP-PLANT
smilacina_raceoscum_0.png,44,Smilacina raceoscum,FALSE SOLOMONS SEA
smilacina_raceoscum_1.png,44,Smilacina raceoscum,FALSE SOLOMONS SEA
smilacina_raceoscum_2.png,44,Smilacina raceoscum,FALSE SOLOMONS SEA
solidago_nemoralis_0.png,45,Solidago nemoralis,GRAY GOLDENROD
solidago_sempervirens_0.png,46,Solidago sempervirens,GOLDENROD
solidago_sempervirens_1.png,46,Solidago sempervirens,GOLDENROD
stokesia_laevis_peachie_0.png,47,Stokesia laevis Peachie,STOKES ASTER
stokesia_laevis_peachie_1.png,47,Stokesia laevis Peachie,STOKES ASTER
symphyotrichum_laeve_smooth_0.png,48,Symphyotrichum laeve smooth,SMOOTH ASTER
symphyotrichum_laeve_smooth_1.png,48,Symphyotrichum laeve smooth,SMOOTH ASTER
symphyotrichum_laeve_smooth_2.png,48,Symphyotrichum laeve smooth,SMOOTH ASTER
symphyotrichum_novae_0.png,49,Symphyotrichum novae,NEW ENGLAND ASTER
symphyotrichum_novae_1.png,49,Symphyotrichum novae,NEW ENGLAND ASTER
symphyotrichum_novi_0.png,50,Symphyotrichum novi,NEW YORK ASTER
tiarella_cordifolia_0.png,51,Tiarella cordifolia,FOAM FLOWER
verbena_hastata_blue_0.png,52,Verbena hastata blue,BLUE VERVAIN
verbena_hastata_blue_1.png,52,Verbena hastata blue,BLUE VERVAIN
verbena_hastata_blue_2.png,52,Verbena hastata blue,BLUE VERVAIN
vernonia_noveboracensis_new_0.png,53,Vernonia noveboracensis new,NEW YORK IRONWEED
vernonia_noveboracensis_new_1.png,53,Vernonia noveboracensis new,NEW YORK IRONWEED
veronicastrum_virginicum_0.png,54,Veronicastrum virginicum,CULVERS ROOT
veronicastrum_virginicum_1.png,54,Veronicastrum virginicum,CULVERS ROOT
athyrium_filix_femina_0.png,56,Athyrium filix femina,LADY FERN
dryopteris_marginalis_0.png,57,Dryopteris marginalis,MARGINAL WOODLAND FERN
dryopteris_marginalis_1.png,57,Dryopteris marginalis,MARGINAL WOODLAND FERN
matteuccia_struthiopteris_ostrich_0.png,58,Matteuccia struthiopteris ostrich,OSTRICH FERN
matteuccia_struthiopteris_ostrich_1.png,58,Matteuccia struthiopteris ostrich,OSTRICH FERN
onoclea_sensibilis_sensitive_0.png,59,Onoclea sensibilis sensitive,SENSITIVE FERN
onoclea_sensibilis_sensitive_1.png,59,Onoclea sensibilis sensitive,SENSITIVE FERN
osmunda_cinnamomea_0.png,60,Osmunda cinnamomea,CINNAMON FERN
osmunda_cinnamomea_1.png,60,Osmunda cinnamomea,CINNAMON FERN
osmunda_regalis_royal_0.png,61,Osmunda regalis royal,ROYAL FERN
osmunda_regalis_royal_1.png,61,Osmunda regalis royal,ROYAL FERN
polystichum_acrostichoides_0.png,62,Polystichum acrostichoides,CHRISTMAS FERN
andropogon_gerardii_blackhawks_0.png,64,Andropogon gerardii Blackhawks,BIG BLUESTEM
andropogon_gerardii_blackhawks_1.png,64,Andropogon gerardii Blackhawks,BIG BLUESTEM
andropogon_gerardii_blackhawks_2.png,64,Andropogon gerardii Blackhawks,BIG BLUESTEM
carex_amphibola_0.png,65,Carex amphibola,CREEK SEDGE
carex_amphibola_1.png,65,Carex amphibola,CREEK SEDGE
carex_crinita_fringed_0.png,66,Carex crinita fringed,FRINGED SEDGE
carex_crinita_fringed_1.png,66,Carex crinita fringed,FRINGED SEDGE
carex_grayi_0.png,67,Carex grayi,GRAY SEDGE
carex_grayi_1.png,67,Carex grayi,GRAY SEDGE
carex_laxiculmis_bunny_0.png,68,Carex laxiculmis Bunny,CREEPING SEDGE
carex_pensylvanica_pennsylvania_0.png,69,Carex pensylvanica pennsylvania,PENNSYLVANIA SEDGE
carex_pensylvanica_pennsylvania_1.png,69,Carex pensylvanica pennsylvania,PENNSYLVANIA SEDGE
carex_pensylvanica_pennsylvania_2.png,69,Carex pensylvanica pennsylvania,PENNSYLVANIA SEDGE
